endTime,artistName,trackName,msPlayed
2020-09-18 03:20,Five For Fighting,Superman (It's Not Easy),116924
2020-09-18 06:47,Five For Fighting,Superman (It's Not Easy),131725
2020-09-18 16:32,Straight No Chaser,Feels like Christmas (feat. Jana Kramer),150820
2020-09-18 16:57,Phil Collins,You Can't Hurry Love - 2016 Remaster,117285
2020-09-18 17:59,Simple Plan,Summer Paradise (feat. Sean Paul) - Single Version,234786
2020-09-18 18:03,Phil Collins,You'll Be In My Heart,256733
2020-09-18 18:17,B1A4,Baby Good Night,200248
2020-09-18 18:24,Chris Young,Town Ain't Big Enough,171800
2020-09-18 18:33,Creedence Clearwater Revival,Long As I Can See The Light,210866
2020-09-18 18:42,Maroon 5,Never Gonna Leave This Bed,196706
2020-09-18 18:51,Caesars,Jerk It Out,195666
2020-09-18 19:01,Gary Glitter,Rock And Roll Part II,180600
2020-09-18 19:05,Old Dominion,Dancing Forever,211666
2020-09-18 19:12,Aaron Taos,Control,135824
2020-09-18 20:50,Taylor Swift,State Of Grace,275460
2020-09-18 21:00,Ozomatli,After Party,207882
2020-09-19 01:39,Brett Dennen,Comeback Kid (That's My Dog),115071
2020-09-19 01:42,Hillsong Worship,Cornerstone - Live,73910
2020-09-19 03:51,Ska 86 Project,Summer Time,157833
2020-09-19 03:52,Shania Twain,Up!,47671
2020-09-19 08:17,Hillsong UNITED,Oceans (Where Feet My Fail) - Live/Acoustic Version,151182
2020-09-19 19:57,Jonas Brothers,Paranoid,218266
2020-09-19 20:01,Rend Collective,Nailed To The Cross,245738
2020-09-19 20:05,Chicago,Hard to Say I'm Sorry / Get Away - 2006 Remaster,239285
2020-09-19 21:20,George Strait,Check Yes Or No,196755
2020-09-19 21:28,Rascal Flatts,Back To Life,46172
2020-09-19 22:22,Desperation Band,God You Are My God,53503
2020-09-19 22:30,Simple Plan,Summer Paradise (feat. Sean Paul) - Single Version,234786
2020-09-19 22:33,Fall Out Boy,"Sugar, We're Goin Down",229093
2020-09-19 22:53,Thousand Foot Krutch,Untraveled Road,229307
