,endTime,artistName,trackName,Genre,Day of the Week,Genres,msPlayed
586,5/1/2020 20:04,Nickelback,When We Stand Together,alternative metal,Friday,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",74341
587,5/1/2020 20:07,Emotional Oranges,Sundays,alternative r&b,Friday,['alternative r&b'],186680
588,5/1/2020 20:11,Emotional Oranges,West Coast Love,alternative r&b,Friday,['alternative r&b'],215386
589,5/1/2020 20:24,Chris Young,Drowning - Piano Version,contemporary country,Friday,"['contemporary country', 'country', 'country road', 'modern country rock']",182357
590,5/1/2020 20:27,Chris Young,Town Ain't Big Enough,contemporary country,Friday,"['contemporary country', 'country', 'country road', 'modern country rock']",171800
591,5/1/2020 20:34,Luke Bryan,One Margarita,contemporary country,Friday,"['contemporary country', 'country', 'country road']",193426
592,5/1/2020 20:49,Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")",dance pop,Friday,"['dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",196187
593,5/1/2020 20:52,5 Seconds of Summer,Youngblood,boy band,Friday,"['boy band', 'dance pop', 'pop', 'post-teen pop']",203417
594,5/1/2020 21:01,Eminem,The Real Slim Shady,detroit hip hop,Friday,"['detroit hip hop', 'hip hop', 'rap']",192230
595,5/1/2020 23:02,Dean Brody,It's Friday,canadian contemporary country,Friday,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",127291
596,5/1/2020 23:05,Billy Joel,The Longest Time,album rock,Friday,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",121007
597,5/1/2020 23:08,Ed Sheeran,Nancy Mulligan,pop,Friday,"['pop', 'uk pop']",72028
598,5/1/2020 23:22,Brad Paisley,Mud on the Tires,contemporary country,Friday,"['contemporary country', 'country', 'country road']",72913
599,5/2/2020 1:37,One Direction,No Control,boy band,Saturday,"['boy band', 'pop', 'post-teen pop', 'talent show']",197360
600,5/2/2020 1:48,Emotional Oranges,Sundays,alternative r&b,Saturday,['alternative r&b'],181736
601,5/2/2020 1:51,Billy Joel,The Longest Time,album rock,Saturday,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",202431
602,5/2/2020 22:27,Kings of Leon,Sex on Fire,modern rock,Saturday,"['modern rock', 'rock']",203346
603,5/2/2020 22:37,Miani,Tu vivi nell'aria - Goodzilla Bounce Remix Edit,dance pop,Saturday,['dance pop'],74257
604,5/3/2020 5:33,Alan Jackson,Remember When,contemporary country,Sunday,"['contemporary country', 'country', 'country road', 'country rock']",271280
605,5/3/2020 5:37,James Taylor,Carolina in My Mind,adult standards,Sunday,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",238573
606,5/3/2020 5:54,Brett Dennen,Comeback Kid (That's My Dog),acoustic pop,Sunday,"['acoustic pop', 'indie folk', 'neo mellow', 'pop rock', 'stomp and holler']",205373
607,5/3/2020 5:58,The Killers,When You Were Young,modern rock,Sunday,"['modern rock', 'permanent wave', 'rock']",220426
608,5/3/2020 6:00,The Beach Boys,I Get Around (Mono),baroque pop,Sunday,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",134386
609,5/3/2020 6:09,Declan McKenna,Brazil,indie pop,Sunday,"['indie pop', 'modern alternative rock', 'modern rock', 'rock']",252306
610,5/3/2020 6:21,Emotional Oranges,Corners Of My Mind,alternative r&b,Sunday,['alternative r&b'],212866
611,5/3/2020 6:26,Mumford & Sons,Forever,modern folk rock,Sunday,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",276780
612,5/3/2020 6:38,The Beach Boys,Barbara Ann (Stereo) - Remastered,baroque pop,Sunday,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",203000
613,5/3/2020 6:44,Yiruma,Kiss The Rain,neo-classical,Sunday,"['neo-classical', 'new age piano']",213440
614,5/3/2020 19:22,Luke Bryan,One Margarita,contemporary country,Sunday,"['contemporary country', 'country', 'country road']",160298
615,5/3/2020 19:31,The Goo Goo Dolls,Come to Me,alternative rock,Sunday,"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",225333
616,5/3/2020 19:38,Luke Bryan,Fast,contemporary country,Sunday,"['contemporary country', 'country', 'country road']",69230
617,5/3/2020 19:46,Rascal Flatts,Fast Cars And Freedom,contemporary country,Sunday,"['contemporary country', 'country', 'country road', 'pop rock']",248285
