endTime,artistName,trackName,Day of the Week,Genres,msPlayed
4/18/2020 3:33,Justin Moore,If Heaven Wasn't So Far Away,Saturday,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",106366
4/18/2020 3:39,Sister Hazel,Mandolin Moon,Saturday,"['acoustic pop', 'neo mellow', 'pop rock']",214346
4/18/2020 4:09,High Valley,She's With Me,Saturday,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",44327
4/18/2020 4:19,Taron Egerton,"I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",Saturday,['hollywood'],187853
4/18/2020 4:24,Spencer Crandall,Do It All Again,Saturday,"['contemporary country', 'country pop']",203018
4/18/2020 4:52,Chris Tomlin,Whom Shall I Fear (God Of Angel Armies),Saturday,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",33182
4/18/2020 22:20,Boston,Peace of Mind,Saturday,"['album rock', 'art rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",303586
4/18/2020 22:31,Kings of Leon,Sex on Fire,Saturday,"['modern rock', 'rock']",134729
4/19/2020 0:03,Kings of Leon,Sex on Fire,Sunday,"['modern rock', 'rock']",35150
4/19/2020 0:06,Selena,Bidi Bidi Bom Bom,Sunday,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",178226
4/19/2020 0:14,Sara Evans,Suds in the Bucket,Sunday,"['contemporary country', 'country', 'country dawn', 'country gospel', 'country road']",227266
4/19/2020 0:30,Thomas Rhett,Almost,Sunday,"['contemporary country', 'country', 'country road', 'modern country rock']",52484
4/19/2020 0:44,Chris Tomlin,"Sing, Sing, Sing",Sunday,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",115310
4/19/2020 19:22,Jelani Aryeh,Stella Brown,Sunday,"['alternative r&b', 'bedroom soul']",178165
4/19/2020 19:40,Keith Urban,Somewhere In My Car,Sunday,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",58842
4/20/2020 19:01,The Goo Goo Dolls,Come to Me,Monday,"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",225333
4/20/2020 19:04,Dan + Shay,Speechless,Monday,"['contemporary country', 'pop']",172737
4/20/2020 21:09,PSY,"It's Art (Music from Fantastic Duo 2, Pt. 4)",Monday,"['k-pop', 'k-rap']",92550
4/20/2020 21:12,Lady A,Champagne Night - From Songland,Monday,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop rock']",185069
4/20/2020 21:17,Brenton Brown,Hosanna (Praise Is Rising) - Everlasting God Album Version,Monday,['worship'],272647
4/20/2020 21:21,Big Daddy Weave,The Only Name (Yours Will Be),Monday,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'worship']",261880
4/21/2020 6:55,Junior Doctor,Uh Oh,Tuesday,['pop emo'],166830
4/21/2020 8:02,Hillsong UNITED,Oceans (Where Feet May Fail),Tuesday,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",142417
4/22/2020 8:26,Hillsong UNITED,Oceans (Where Feet May Fail),Wednesday,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",153588
4/22/2020 20:23,The Weeknd,Blinding Lights,Wednesday,"['canadian contemporary r&b', 'canadian pop', 'pop']",200040
4/22/2020 20:49,Ailee,여인의 향기,Wednesday,"['k-pop', 'korean pop']",212560
4/22/2020 21:07,Luke Bryan,One Margarita,Wednesday,"['contemporary country', 'country', 'country road']",166920
4/22/2020 21:12,Thomas Rhett,Be A Light,Wednesday,"['contemporary country', 'country', 'country road', 'modern country rock']",173960
4/22/2020 21:20,The Goo Goo Dolls,Come to Me,Wednesday,"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",225333
4/22/2020 21:49,Thomas Rhett,Remember You Young,Wednesday,"['contemporary country', 'country', 'country road', 'modern country rock']",180466
4/22/2020 21:57,Thomas Rhett,Almost,Wednesday,"['contemporary country', 'country', 'country road', 'modern country rock']",191591
4/22/2020 22:02,Lady Gaga,Just Dance,Wednesday,"['dance pop', 'pop', 'pop dance']",84218
4/23/2020 7:36,Chris Tomlin,Amazing Grace (My Chains Are Gone),Thursday,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",157495
4/23/2020 20:35,Selena,Bidi Bidi Bom Bom,Thursday,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",180950
4/23/2020 20:39,ABBA,Waterloo,Thursday,"['europop', 'swedish pop']",151300
4/23/2020 20:42,We The Kings,Kids In The Moonlight,Thursday,"['neon pop punk', 'piano rock', 'pop punk', 'pop rock', 'post-teen pop']",201813
4/23/2020 20:47,Blake Shelton,Nobody But You (Duet with Gwen Stefani) - Acoustic,Thursday,"['contemporary country', 'country', 'country road', 'oklahoma country']",198413
4/23/2020 20:48,Ylvis,Mr. Toot,Thursday,['comic'],54836
4/23/2020 20:51,Jelani Aryeh,Stella Brown,Thursday,"['alternative r&b', 'bedroom soul']",185810
