,endTime,artistName,trackName,Genre,msPlayed,Day of the Week
285,10/17/2019 20:05,Dan + Shay,"10,000 Hours (with Justin Bieber)",contemporary country,149933,Thursday
286,10/17/2019 21:14,Fall Out Boy,"Sugar, We're Goin Down",emo,227092,Thursday
287,10/17/2019 21:34,U2,The Miracle (Of Joey Ramone),irish rock,255382,Thursday
288,10/17/2019 21:37,High Valley,I Be U Be,alberta country,213093,Thursday
289,10/17/2019 21:54,Jet,Are You Gonna Be My Girl,alternative rock,213800,Thursday
290,10/17/2019 21:57,Robin Schulz,Sugar (feat. Francesco Yates),dance pop,92654,Thursday
291,10/18/2019 2:32,Zac Brown Band,My Old Man,contemporary country,54857,Friday
292,10/18/2019 2:35,Gin Blossoms,Hey Jealousy,alternative rock,236626,Friday
293,10/18/2019 2:38,Zac Brown Band,As She's Walking Away (feat. Alan Jackson),contemporary country,116073,Friday
294,10/18/2019 3:43,Troy,Bet On It,australian pop,51535,Friday
295,10/18/2019 3:49,Thomas Rhett,Notice,contemporary country,57668,Friday
296,10/18/2019 3:57,Thomas Rhett,Notice,contemporary country,165882,Friday
297,10/18/2019 4:05,Old Dominion,One Man Band,contemporary country,186520,Friday
298,10/18/2019 4:14,The Goo Goo Dolls,Sympathy,alternative rock,178146,Friday
299,10/18/2019 4:31,Pitbull,Echa Pa'lla (Manos Pa'rriba) (feat. Papayo),dance pop,196440,Friday
300,10/18/2019 4:38,Taron Egerton,"I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",hollywood,187853,Friday
301,10/18/2019 4:41,Florida Georgia Line,H.O.L.Y.,contemporary country,194186,Friday
302,10/18/2019 4:45,Junior Doctor,Uh Oh,pop emo,217254,Friday
303,10/18/2019 14:47,Juan Magán,Echa Pa Aca,dance pop,112735,Friday
304,10/18/2019 15:02,Big Sean,One Man Can Change The World,detroit hip hop,250091,Friday
305,10/18/2019 15:55,Big Time Rush,Boyfriend,boy band,155936,Friday
306,10/18/2019 16:35,Zac Brown Band,My Old Man,contemporary country,129520,Friday
307,10/18/2019 16:38,Troy,Bet On It,australian pop,198320,Friday
308,10/18/2019 16:48,Sidewalk Prophets,Smile,anthem worship,176133,Friday
309,10/18/2019 16:52,Stealers Wheel,Stuck In The Middle With You,classic rock,203893,Friday
310,10/18/2019 16:53,blink-182,Adam's Song,pop punk,39184,Friday
311,10/18/2019 18:14,Post Malone,Candy Paint,dfw rap,227533,Friday
312,10/18/2019 18:19,Fall Out Boy,"Sugar, We're Goin Down",emo,229093,Friday
313,10/18/2019 18:23,Jonas Brothers,Lovebug,boy band,220693,Friday
314,10/18/2019 18:38,Jump5,"Aloha, E Komo Mai (Theme Song from Lilo & Stitch: The Series) - Extended Version",post-teen pop,144413,Friday
315,10/18/2019 18:56,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent),pop,97130,Friday
316,10/19/2019 21:53,Skylar Grey,Do You Remember,electropop,33010,Saturday
317,10/19/2019 21:55,Sam Hunt,Kinfolks,contemporary country,30060,Saturday
318,10/19/2019 21:58,John Rzeznik,"I'm Still Here (Jim's Theme) - From ""Treasure Planet""/Soundtrack Version",alternative rock,142060,Saturday
319,10/19/2019 22:09,Troy,Bet On It,australian pop,74470,Saturday
320,10/22/2019 15:02,Thomas Rhett,Almost,contemporary country,191591,Tuesday
321,10/22/2019 15:03,Demi Lovato,This Is Me,dance pop,52724,Tuesday
322,10/22/2019 15:08,ABBA,Chiquitita,europop,327040,Tuesday
323,10/22/2019 15:09,Fall Out Boy,The Last Of The Real Ones,emo,32192,Tuesday
324,10/22/2019 15:12,One Direction,No Control,boy band,199720,Tuesday
325,10/22/2019 15:16,HIXTAPE,Nothin’ Out Here (HARDY feat. Thomas Rhett),contemporary country,214600,Tuesday
326,10/22/2019 15:55,Twenty One Pilots,Fake You Out,modern rock,136859,Tuesday
327,10/22/2019 16:17,One Direction,No Control,boy band,199720,Tuesday
328,10/22/2019 17:48,Post Malone,Candy Paint,dfw rap,148435,Tuesday
329,10/22/2019 21:10,Alan Doyle,"1,2,3,4",canadian celtic,65960,Tuesday
330,10/22/2019 21:13,Fall Out Boy,"Sugar, We're Goin Down",emo,229093,Tuesday
331,10/22/2019 21:21,U2,The Miracle (Of Joey Ramone),irish rock,255382,Tuesday
332,10/22/2019 21:27,Pitbull,Hoy Se Bebe,dance pop,216866,Tuesday
333,10/22/2019 21:50,Fetty Wap,679 (feat. Monty),new jersey rap,186986,Tuesday
334,10/22/2019 22:13,Pitbull,Echa Pa'lla (Manos Pa'rriba) (feat. Papayo),dance pop,196440,Tuesday
335,10/22/2019 22:23,Avicii,Levels,big room,321268,Tuesday
336,10/22/2019 22:30,Relient K,Sadie Hawkins Dance,canadian ccm,177600,Tuesday
337,10/22/2019 22:32,Blackjack Billy,The Booze Cruise,modern southern rock,175560,Tuesday
338,10/22/2019 22:35,blink-182,Darkside,pop punk,180960,Tuesday
339,10/22/2019 22:42,Daddy Yankee,Limbo,latin,224693,Tuesday
340,10/22/2019 22:44,U2,Vertigo,irish rock,119334,Tuesday
341,10/22/2019 22:46,Old Dominion,My Heart Is a Bar,contemporary country,140637,Tuesday
342,10/22/2019 23:24,Dan + Shay,"10,000 Hours (with Justin Bieber)",contemporary country,167693,Tuesday
343,10/22/2019 23:57,Jump5,"Aloha, E Komo Mai (Theme Song from Lilo & Stitch: The Series) - Extended Version",post-teen pop,58420,Tuesday
344,10/23/2019 16:50,One Direction,No Control,boy band,199720,Wednesday
345,10/23/2019 16:59,Thomas Rhett,Notice,contemporary country,222853,Wednesday
346,10/23/2019 17:09,Kygo,Born To Be Yours,edm,139669,Wednesday
347,10/23/2019 17:29,Guy Sebastian,Like It Like That,australian pop,172564,Wednesday
348,10/23/2019 18:35,Brett Dennen,Comeback Kid (That's My Dog),acoustic pop,205373,Wednesday
349,10/23/2019 18:36,Dan + Shay,19 You + Me,contemporary country,31297,Wednesday
350,10/23/2019 18:38,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,dance pop,165549,Wednesday
351,10/23/2019 21:10,One Direction,No Control,boy band,199720,Wednesday
352,10/23/2019 21:15,Mumford & Sons,I Will Wait,modern folk rock,276720,Wednesday
353,10/23/2019 21:17,High Valley,I Be U Be,alberta country,147316,Wednesday
354,10/23/2019 21:25,Skillet,Feel Invincible,alternative metal,229933,Wednesday
355,10/23/2019 21:29,The Beach Boys,Barbara Ann (Stereo) - Remastered,baroque pop,203000,Wednesday
356,10/23/2019 21:36,Dire Straits,Romeo and Juliet,album rock,361395,Wednesday
357,10/23/2019 21:40,Backstreet Boys,In a World Like This,boy band,220216,Wednesday
358,10/23/2019 21:44,Anuel AA,China,latin,178931,Wednesday
359,10/23/2019 21:46,Lunay,Soltera - Remix,latin,68100,Wednesday
360,10/23/2019 22:03,Sean Kingston,Me Love,dance pop,204293,Wednesday
361,10/23/2019 22:07,Mumford & Sons,The Cave,modern folk rock,217986,Wednesday
362,10/23/2019 22:31,Jonas Brothers,Strangers,boy band,233853,Wednesday
363,10/23/2019 22:38,Old Dominion,Snapback,contemporary country,184978,Wednesday
364,10/23/2019 23:32,The Tokens,Tonight I Met an Angel,brill building pop,118306,Wednesday
365,10/23/2019 23:39,Brewer & Shipley,One Toke Over the Line,country rock,199041,Wednesday
366,10/24/2019 0:07,Boston,Peace of Mind,album rock,272712,Thursday
367,10/24/2019 16:03,Zac Brown Band,Highway 20 Ride - Greatest Hits Version,contemporary country,229253,Thursday
